,sets,result,averaging,vol_cors,open_cors,vol_avg1,vol_std1,vol_avg2,vol_std2,open_avg1,open_std1,open_avg2,open_avg22
0,"['RJF', 'MGM']",142.05,-9.48,0.563328357,0.932388777,636063.2459,820094.0405,8435331.785,11185313.67,20.42724086,60.67359951,7.277770059,22.08430672
1,"['NVDA', 'NWL']",134.81,48.89,0.573458043,0.370655875,8289445.62,12400039.81,3694374.826,4039379.897,129.1223763,109.4254827,12.05953952,28.54496226
2,"['NEE', 'NFLX']",132.49,64.02,0.513830997,0.973725198,3551611.656,8154681.089,21404637.44,19626306.32,16.16642455,32.51236392,148.0154239,158.7334469
3,"['AMD', 'BSX']",129.62,21.03,0.395731733,0.855083649,35771116.36,41346216.41,7721338.635,11461293.17,19.6724921,15.2290584,12.24751683,20.96729838
4,"['URI', 'CHTR']",127.51,69.9,0.510276413,0.932779661,1317678.926,1890334.327,1350400.781,1257994.16,48.56041116,94.43641639,156.0928946,239.4578268
5,"['NVDA', 'ICE']",124.93,40.28,0.515663688,0.940444547,8289445.62,12400039.81,2295892.283,3369558.244,129.1223763,109.4254827,23.92200388,54.51227254
6,"['NVDA', 'ICE']",124.93,40.28,0.515663688,0.940444547,8289445.62,12400039.81,2295892.283,3369558.244,129.1223763,109.4254827,23.92200388,54.51227254
7,"['NDAQ', 'GOOGL']",120.78,36.6,0.697926421,0.992705449,1023214.812,1250948.073,2313554.605,2949090.934,30.91716585,61.22887968,387.2099169,773.56996
8,"['WELL', 'ODFL']",120.66,38.03,0.560458248,0.596956098,1404681.921,2265063.449,719260.9785,882028.6055,10.32974472,64.9030512,46.40203312,63.48385953
9,"['TSN', 'HUM']",118.59,1.6,0.582179092,0.90416403,2221466.022,3628494.557,1090884.263,1401947.914,22.06735482,48.70092972,103.3529422,191.5224315
10,"['UHS', 'KLAC']",118.21,39.93,0.628274015,0.781575181,565574.7236,839629.1617,1146598.379,1760415.256,34.15585954,98.2623918,45.78533765,87.77655938
11,"['KLAC', 'VZ']",117.04,47.65,0.535017577,0.878477185,1146598.379,1760415.256,14445786.53,15666461.22,45.78533765,87.77655938,6.611415125,49.06389753
12,"['MSCI', 'NFLX']",116.73,83.13,0.529871663,0.97662631,665964.6975,637707.7473,21404637.44,19626306.32,97.77451351,111.3184544,148.0154239,158.7334469
13,"['NVDA', 'XRAY']",116.19,45.95,0.556459348,0.57116745,8289445.62,12400039.81,1113456.149,1414478.784,129.1223763,109.4254827,9.249474873,48.51947954
14,"['AAPL', 'DG']",115.37,60.6,0.539750201,0.976208417,200298228.3,255311632.6,2848078.375,3047256.337,24.43861976,36.21531005,45.05756597,84.88856968
15,"['AAPL', 'DG']",115.37,60.6,0.539750201,0.976208417,200298228.3,255311632.6,2848078.375,3047256.337,24.43861976,36.21531005,45.05756597,84.88856968
16,"['SO', 'CPRT']",113.24,66.19,0.548298016,0.895976823,2259098.766,4973274.891,1620996.008,1479138.578,6.054131411,47.76553036,28.20992437,35.23718017
17,"['LRCX', 'CDW']",112.77,36.46,0.4661262,0.939161059,1473438.383,2419528.844,832548.2901,884863.8141,94.4387159,123.1696504,35.00124863,65.90331226
18,"['NVDA', 'URI']",112.14,68.03,0.52559298,0.918003127,8289445.62,12400039.81,1317678.926,1890334.327,129.1223763,109.4254827,48.56041116,94.43641639
19,"['NWL', 'SHW']",111.89,40.38,0.524111817,0.451570008,3694374.826,4039379.897,476661.6635,767288.7167,12.05953952,28.54496226,162.6049355,300.3799164
20,"['ALGN', 'NVR']",110.87,88.25,0.551420773,0.955396403,883537.9526,940629.9563,23458.1946,32783.94915,115.815304,129.5362257,1075.352819,1902.356607
21,"['IPGP', 'URI']",110.83,80.36,0.537857103,0.937062189,382089.2726,449174.7318,1317678.926,1890334.327,55.01117336,107.1593326,48.56041116,94.43641639
22,"['ODFL', 'MS']",110.67,63.79,0.556527822,0.905629308,719260.9785,882028.6055,8667412.302,14291156.18,46.40203312,63.48385953,12.11689802,35.22417164
23,"['LB', 'SNPS']",110.6,42.16,0.612398283,0.233523485,3289696.592,3772775.288,751604.0426,896661.6607,21.69187834,49.82322605,49.77744917,70.85367107
24,"['UNP', 'DVA']",110.02,53.69,0.558540147,0.810590858,2051514.73,4338427.255,1051227.688,1568358.482,42.88058272,107.1575466,14.45923514,63.91087606
25,"['ADI', 'DVA']",109.59,49.37,0.558447058,0.773954321,1401247.747,2650970.52,1051227.688,1568358.482,28.11053807,69.37042113,14.45923514,63.91087606
26,"['IPGP', 'AAPL']",109.3,86.35,0.556783666,0.839279902,382089.2726,449174.7318,200298228.3,255311632.6,55.01117336,107.1593326,24.43861976,36.21531005
27,"['TROW', 'ALGN']",108.93,70.9,0.561459916,0.952655915,756027.7799,1503262.376,883537.9526,940629.9563,22.88617784,85.24666659,115.815304,129.5362257
28,"['KIM', 'NVDA']",108.61,20.1,0.621622122,0.191098933,2030510.658,3837083.313,8289445.62,12400039.81,4.556308467,20.29173618,129.1223763,109.4254827
29,"['RF', 'INTC']",107.91,34.58,0.624658039,0.884675157,8440735.842,15847439.65,18984327.07,33437023.96,4.014521695,11.18895511,11.97202778,35.89067936
30,"['NVDA', 'MCD']",107.86,36.55,0.554790884,0.933416469,8289445.62,12400039.81,2591644.679,4981881.446,129.1223763,109.4254827,43.72516604,130.4704489
31,"['VRSK', 'TXN']",107.34,53.78,0.54933999,0.976703731,723474.0634,832987.5248,3660542.879,6649829.321,41.9505736,86.55334536,36.08976192,70.20503378
32,"['FE', 'NTRS']",107.19,19.22,0.546158289,0.348754557,3732819.143,4062863.806,686019.0633,1305146.841,5.726450889,37.43717124,20.11722965,72.54433848
33,"['QCOM', 'KLAC']",107.09,63.92,0.601671645,0.869246006,7499421.861,11990711.8,1146598.379,1760415.256,16.88528648,67.01949149,45.78533765,87.77655938
34,"['KR', 'BIIB']",106.99,25.4,0.535544936,0.898160544,5868227.756,9729567.739,1233547.611,1671872.308,8.816242104,24.97303935,84.76665992,254.9662018
35,"['AKAM', 'AMD']",106.92,47.65,0.446002208,0.887204999,2316833.331,2452009.813,35771116.36,41346216.41,21.32196869,60.13998018,19.6724921,15.2290584
36,"['TXN', 'MKTX']",106.91,61.76,0.528655325,0.969027601,3660542.879,6649829.321,253583.6089,247215.1768,36.08976192,70.20503378,138.1999937,156.8293406
37,"['SNPS', 'ODFL']",106.88,84.17,0.550675813,0.990711296,751604.0426,896661.6607,719260.9785,882028.6055,49.77744917,70.85367107,46.40203312,63.48385953
38,"['ODFL', 'GWW']",106.81,61.41,0.547109315,0.90459896,719260.9785,882028.6055,390932.2157,574642.2725,46.40203312,63.48385953,56.99693047,242.5050416
39,"['TSCO', 'GS']",106.34,52.35,0.557450095,0.7646229,1128829.983,1471976.718,2149505.562,3767705.522,26.78195034,73.46795785,42.98905792,181.1495392
40,"['NEM', 'AMD']",106.24,60.41,0.479963507,0.739261147,3782411.463,7461306.039,35771116.36,41346216.41,13.55812155,38.64837112,19.6724921,15.2290584
41,"['AMD', 'AVY']",105.94,55.67,0.438039317,0.875820597,35771116.36,41346216.41,453600.7778,784455.2245,19.6724921,15.2290584,33.55147061,72.21291221
42,"['IDXX', 'LB']",105.8,39.54,0.483073306,0.219574914,569819.4321,627929.7179,3289696.592,3772775.288,102.8441906,131.7676321,21.69187834,49.82322605
43,"['DVA', 'TT']",105.36,67.47,0.603427949,0.814087067,1051227.688,1568358.482,2483537.528,3164092.438,14.45923514,63.91087606,27.47456251,57.37660314
44,"['AMD', 'LH']",104.97,23.75,0.486620065,0.866199466,35771116.36,41346216.41,483565.6013,849669.8053,19.6724921,15.2290584,34.47766671,127.7140247
45,"['IPGP', 'RJF']",104.75,62.51,0.540918941,0.948660936,382089.2726,449174.7318,636063.2459,820094.0405,55.01117336,107.1593326,20.42724086,60.67359951
46,"['PHM', 'WM']",104.27,25.71,0.707607932,0.948203662,4260665.565,6780882.916,1520386.802,2352541.279,9.802419389,22.141029,28.14149537,64.99435044
47,"['NOW', 'PCAR']",104.07,37.1,0.505392814,0.797830429,1417093.614,1698926.436,1129172.078,2128752.88,122.521135,142.3486688,11.99300525,60.15535161
48,"['PG', 'NFLX']",103.62,61.46,0.570454512,0.90979795,5734660.385,9128435.677,21404637.44,19626306.32,19.3013663,86.44532783,148.0154239,158.7334469
49,"['PXD', 'IDXX']",103.57,43.54,0.550064514,0.471936609,977317.7243,1860592.173,569819.4321,627929.7179,37.99878538,141.7801987,102.8441906,131.7676321
50,"['DVA', 'CMI']",103.19,57.01,0.578436138,0.807249051,1051227.688,1568358.482,1067641.614,1784877.95,14.45923514,63.91087606,30.59346904,136.8279499
51,"['ALGN', 'ICE']",103.08,68.06,0.522186055,0.94966046,883537.9526,940629.9563,2295892.283,3369558.244,115.815304,129.5362257,23.92200388,54.51227254
52,"['WU', 'KLAC']",102.89,57.49,0.575160881,0.817760281,3575041.614,5694814.104,1146598.379,1760415.256,2.549816389,19.06876441,45.78533765,87.77655938
53,"['SIVB', 'CPRT']",102.84,75.44,0.546121289,0.915273562,367626.4722,469424.553,1620996.008,1479138.578,80.39115893,147.567338,28.20992437,35.23718017
54,"['PGR', 'PFG']",102.44,59.42,0.661676507,0.71727266,1998353.124,3664174.533,908881.6075,1643990.187,22.83740089,41.9174096,12.42097416,45.90705999
55,"['AMD', 'AAPL']",102.28,70.74,0.356769507,0.976235777,35771116.36,41346216.41,200298228.3,255311632.6,19.6724921,15.2290584,24.43861976,36.21531005
56,"['TWTR', 'ATVI']",101.34,29.28,0.488489648,0.571674058,16112297.95,21641754.94,5403706.863,7976603.139,11.69303517,32.08075557,22.98446713,37.28886769
57,"['NVR', 'ADSK']",101.33,72.46,0.561306608,0.966589641,23458.1946,32783.94915,1778101.86,2441764.323,1075.352819,1902.356607,61.43644768,89.62959076
58,"['DIS', 'KLAC']",101.11,39.03,0.590470581,0.882177784,5988319.064,9201194.239,1146598.379,1760415.256,31.7534765,90.942805,45.78533765,87.77655938
59,"['IDXX', 'VTR']",100.99,25.68,0.547318753,0.208891447,569819.4321,627929.7179,1343726.87,2123067.108,102.8441906,131.7676321,11.7322874,64.37931423
60,"['AMAT', 'AMD']",100.91,48.93,0.433761476,0.897279125,7411867.544,12817867.82,35771116.36,41346216.41,17.77729753,30.40818832,19.6724921,15.2290584
61,"['LH', 'ABMD']",100.71,25.4,0.558132643,0.940675402,483565.6013,849669.8053,516035.1602,510582.6778,34.47766671,127.7140247,115.2222461,123.0537624
62,"['PNC', 'WY']",100.65,42.42,0.640082695,0.756466981,1420172.377,2713474.533,2652775.13,4573896.305,31.12410308,98.03329759,5.153394145,28.59172428
63,"['FRC', 'AMAT']",100.61,46.26,0.496606791,0.965402355,951457.8573,946655.3437,7411867.544,12817867.82,29.58771129,69.1687167,17.77729753,30.40818832
64,"['DVA', 'TRV']",99.99,56.46,0.589559997,0.790774046,1051227.688,1568358.482,1210569.316,2093847.12,14.45923514,63.91087606,27.57796337,102.9356257
65,"['TXN', 'NVDA']",99.83,53.44,0.616748759,0.957977954,3660542.879,6649829.321,8289445.62,12400039.81,36.08976192,70.20503378,129.1223763,109.4254827
