,sets,results,vol_cors,open_cors,vol_avgs,open_avgs,averaging
0,"['RTX', 'INCY']",11.77,0.5592081311562601,0.7855062600034668,4153208.272943981,67.14529452553144,8.89
1,"['AVY', 'DGX']",71.14,0.6047816435594139,0.9669968770613443,1048883.6511720303,75.83349623621386,34.5
2,"['KLAC', 'EVRG']",-10.14,0.5089741738636971,0.882479235277553,1500901.470003973,65.95375643735089,41.89
3,"['SHW', 'ROP']",90.23,0.6039693496655997,0.9899422883581227,628101.6686531585,252.00372251708404,40.86
4,"['FLT', 'TFX']",34.01,0.5343204535497469,0.9681469765051576,478926.97655939613,161.09327581623126,20.16
5,"['NWSA', 'KIM']",-49.6,0.5182922067542745,0.6754492671446852,3499729.5450965036,17.287558454807098,-14.08
6,"['ZBH', 'GIS']",62.09,0.6002526447442825,0.8598281805256609,2606905.2642034166,76.63193680949281,28.89
7,"['HES', 'SBAC']",55.21,0.5813844672907049,0.6695326413084209,2373226.976559396,95.75660308258942,35.66
8,"['PAYX', 'CCI']",43.46,0.5688383608612012,0.9623575256177166,2272054.449741756,72.83290623121901,32.29
9,"['JCI', 'LDOS']",26.45,0.535721905406009,0.6450285674378259,2967988.439809297,44.88067317624673,41.13
10,"['WMT', 'IFF']",20.92,0.5615392630358564,0.7777677910969738,4663839.868891537,94.18586210130366,12.89
11,"['HPE', 'VFC']",-6.16,0.6131615009776995,0.6310746433956897,8283570.415407267,35.46969183985813,-0.1
12,"['MOS', 'HRL']",7.09,0.5837786366709812,0.9525546992134906,3432085.4191497816,34.478591570079345,1.52
13,"['UNM', 'XLNX']",27.59,0.6090539492067053,0.5443628417657254,2644933.571712356,45.779578876343805,-0.44
14,"['AAPL', 'BEN']",104.57,0.5233199121747568,0.8415393107943787,129141414.28287645,37.86225970491417,34.15
15,"['MTD', 'FB']",41.96,0.5305037262618669,0.955907946563588,16153422.918861419,274.74925622106235,37.22
16,"['ES', 'CF']",37.37,0.5450376959478584,0.513115606692009,3273670.798569726,47.34463252574146,8.51
17,"['UA', 'FAST']",43.71,0.5264964289454312,0.7780730170654424,4115034.7904797215,22.362996449814617,15.23
18,"['SWK', 'CLX']",41.28,0.6103513757200725,0.9209234105034264,1225846.1859356377,113.90566747056903,33.49
19,"['EA', 'TAP']",2.28,0.509263205379319,0.6553652373575307,3015313.7067938023,65.32916563145452,12.22
20,"['MRK', 'CTVA']",3.08,0.5639785917192427,0.7702176893974886,8465920.207808577,43.481311185723015,-3.2
21,"['NEM', 'RTX']",-3.4,0.6227662478354651,0.7120228359801174,7091396.155343663,52.84034620223653,27.06
22,"['NLSN', 'MCK']",-30.91,0.5156012132569291,0.7788277446533757,2175579.0435359553,88.90119518678458,6.37
23,"['UNP', 'TJX']",48.88,0.6375476560236845,0.9719829116635283,6243930.115216527,71.35578312758278,22.35
24,"['IT', 'SO']",26.71,0.5623010617507642,0.8471458293534225,2739074.0166865317,69.95824985102524,41.51
25,"['D', 'GLW']",54.08,0.5347583317860372,0.8649309550062743,6378642.570520461,45.2732856769054,29.53
26,"['FLS', 'TYL']",23.85,0.5637041763961496,0.6405525880932184,784450.0993245927,98.28211695966996,56.08
27,"['RSG', 'PM']",33.91,0.662257815593444,0.550260967823085,3485351.8673023437,69.43302942449534,23.19
28,"['PEG', 'NDAQ']",39.35,0.583223239289514,0.9625273208391256,2127097.7949940404,52.07016687086285,23.64
29,"['CSCO', 'LRCX']",18.89,0.5555059949326563,0.898935404515147,17428647.69566945,77.11109655415865,39.22
30,"['CINF', 'SEE']",-5.97,0.562904048489759,0.8197957738815711,1366119.8450536353,48.66062175597659,14.73
31,"['VZ', 'CAH']",-22.26,0.5372112646304458,0.5734163873967701,9142337.38577672,54.51117010347702,5.21
32,"['BKR', 'APA']",-38.82,0.6074668928960683,0.901083328754475,4833330.194676202,52.674676212091796,-31.88
33,"['APA', 'ANSS']",4.49,0.5523454508344533,0.9105006601260325,2643014.799364323,92.37188124656677,-13.71
34,"['CDNS', 'ARE']",78.17,0.5215832210216844,0.9648953609311761,1614139.1934843068,68.16101711119362,59.96
35,"['LYV', 'SBAC']",26.89,0.5150423920537607,0.945647830776034,1308672.38776321,80.67126337090417,27.95
36,"['BK', 'BBY']",26.38,0.562347786110729,0.8097036307283649,5714221.752085816,42.56390343121607,19.91
37,"['NUE', 'CMCSA']",8.59,0.6518683045626228,0.7964910967173743,13688816.428287644,39.620016851830584,14.59
38,"['BAC', 'PPG']",43.98,0.6608527581812976,0.8916594789829466,54762364.99801351,56.123358230624916,30.57
39,"['LDOS', 'AES']",80.79,0.5168290665511978,0.8074380253582651,3399984.877632102,33.083924377253474,55.45
40,"['AAPL', 'ESS']",9.29,0.5191287833507232,0.7986466782522592,127841610.25029798,122.67989974993773,38.98
41,"['HAS', 'ABMD']",72.17,0.5235122053250489,0.8801842970734162,942353.3571712356,96.61159909695067,28.25
42,"['REGN', 'TGT']",40.49,0.528296965183682,0.7911451811777004,3250494.755661502,202.57255269801945,-0.76
43,"['SCHW', 'RL']",-38.15,0.5810504517698847,0.7738890558472328,5223752.60230433,78.14499010848392,5.84
44,"['FLIR', 'LHX']",4.71,0.6206989914845567,0.9280378688104493,1015006.9328565754,69.1119169251143,-7.45
45,"['CLX', 'DISCK']",-2.04,0.5700094469352086,0.6177001772233386,1586805.6217719507,72.46981226341754,8.09
46,"['MKTX', 'CTVA']",10.11,0.552325291004404,0.5825894018783577,2677392.317462927,92.75350038628686,5.85
47,"['TXT', 'AMAT']",19.82,0.6250938769806466,0.8200059489112557,7563788.7564560985,34.93036353592841,14.65
48,"['HII', 'DISH']",-15.16,0.5092439446114593,0.5917691436229706,1475450.925085787,91.08786950270772,-9.46
49,"['SRE', 'TIF']",-1.22,0.5856497632593578,0.8677476602836182,1600238.6326976558,94.1200347941311,27.47
50,"['NWSA', 'PCAR']",31.22,0.5204555807877583,0.7985898250673987,2645564.328568891,37.219366174099505,24.78
51,"['FOXA', 'BSX']",-15.95,0.5134677524805837,0.7756319058621846,8177938.941312611,26.320439560108305,-10.68
52,"['XYL', 'ORCL']",38.31,0.5166703458935299,0.926141511535229,9703391.082834998,46.039775476979706,33.59
53,"['UNP', 'CDW']",55.98,0.571720491648543,0.8971213699003244,2611645.534360013,86.53042942288619,25.71
54,"['PHM', 'F']",37.91,0.5826664845929457,0.7526651183062414,25763136.094557013,17.1518772385828,-16.67
55,"['NOC', 'FTNT']",14.58,0.6063684837500816,0.8943520226708213,1651058.8170441003,120.39086843739912,22.59
56,"['KMI', 'CTVA']",-2.44,0.5632984627407941,0.6789784983113556,8500847.003069663,27.46521014285431,0.87
57,"['PLD', 'SO']",26.22,0.623135172324577,0.9056699788585996,3925868.1366706397,50.39956695805195,46.26
58,"['ISRG', 'LNC']",-4.85,0.5672377276451945,0.6910714667091942,1732405.7210965434,169.96089735360763,26.52
59,"['ALL', 'CHTR']",36.34,0.5674271923887023,0.9510827807594364,1982965.8919348433,154.20202626185517,41.5
60,"['LUV', 'AAL']",-86.24,0.7954621948173463,0.8855049514083915,10926167.957886372,32.29801153809862,-107.55
61,"['AOS', 'RL']",34.39,0.5426348838829119,0.8386415431304755,1278821.8514104092,80.18763908830293,-3.31
