sets,result,averaging,vol_cors,open_cors,vol_avg1,vol_std1,vol_avg2,vol_std2,open_avg1,open_std1,open_avg2,open_avg2
"['CFG', 'FISV']",9.55,-7.86,0.507169353,0.653837562,4489499.958,5058948.734,2163891.01,2895727.89,7.231100513,31.33308861,30.86091836,51.60736096
"['TSCO', 'KR']",39.32,48.98,0.576592624,0.874669414,1128829.983,1471976.718,5868227.756,9729567.739,26.78195034,73.46795785,8.816242104,24.97303935
"['IT', 'OMC']",-26.78,-1.78,0.553330097,0.809571653,528377.9721,504873.1426,1025183.703,1904362.535,38.63382823,92.15096934,13.04819447,67.36172023
"['TXN', 'UPS']",70.04,42.17,0.692756237,0.911891832,3660542.879,6649829.321,1844616.007,3471873.341,36.08976192,70.20503378,20.55934038,100.8209099
"['TIF', 'KIM']",13.31,6.25,0.576815108,0.279092393,1454245.616,1816932.013,2030510.658,3837083.313,21.70833279,88.67391144,4.556308467,20.29173618
"['DHI', 'TYL']",47.71,49.55,0.521889123,0.976821013,2781367.483,5403725.745,228745.0016,225884.3067,15.11136684,31.74456098,96.7630423,149.2252524
"['AIZ', 'MAA']",36.82,25.76,0.467679774,0.968831104,385955.7007,643687.0481,644457.4427,548631.8236,28.9036308,77.19723875,21.75288271,87.84629322
"['XRX', 'BXP']",18.26,-12.01,0.646995844,0.845896169,2074367.645,3490050.525,428565.8313,894823.2817,5.386954244,26.95793252,15.19954541,116.4516409
"['ABMD', 'TWTR']",69.91,40.25,0.527540048,0.629245159,516035.1602,510582.6778,16112297.95,21641754.94,115.2222461,123.0537624,11.69303517,32.08075557
"['ISRG', 'SWK']",23,56.58,0.585673557,0.921682625,835885.8078,1022966.349,770055.3486,1324395.63,181.384387,291.9815563,33.28271448,109.6929123
"['ANSS', 'CTAS']",39.35,69.29,0.562358096,0.98595344,431999.9519,459479.7378,448513.0644,671006.2376,73.44052196,123.9282917,86.06230553,120.4530711
"['ETR', 'ANTM']",33.4,11.16,0.547697886,0.911374056,634363.0528,1415083.711,1269269.296,2045862.296,14.98294602,79.19580853,82.06004705,159.2342472
